,Movie_Name,year,runtime,genre,Rating,director,stars,Votes
894,Love You Ram (Keep Loving More),2023,118,Romance,7.1,Dandela Yelleshwara Rao,"['Rohit Behal', 'Aparna Janardanan', 'Dandela Yelleshwara Rao', 'Banerjee']",3368
895,Sanki,2022,120,Thriller,7.1,Anurag Singh,"['Anurag Singh', 'Varun Dhawan', 'Parineeti Chopra']",3368
896,Jagamemaya,2022,120,Thriller,5.6,Sunil Puppala,"['Teja Ainampudi', 'Dhanya Balakrishna', 'Keshavdeepak Ballari', 'Prudhvi Raj']",617
897,Le Chalhu Apan Duari,2023,120,Comedy,9.5,Mj Singh,"['Narendra Dawda', 'Reshma Jain', 'Dharna Khobragade', 'Manisha Khobragade']",20
898,Ek Jagah Apni,2022,88,Drama,8.3,Ektara Collective,"['Manisha Soni', 'Muskan', 'Aakash Jamra', 'Mahima Singh Thakur']",8
899,Saunkan Saunkne,2022,150,Comedy,6.1,Amarjit Singh Saron,"['Ammy Virk', 'Sargun Mehta', 'Nimrat Khaira', 'Nirmal Rishi']",1112
900,Ayalaan,2023,120,Action,7.1,R. Ravikumar,"['Sivakarthikeyan', 'Rakul Preet Singh', 'Karunakaran', 'Bhanupriya']",3368
901,Veerame Vaagai Soodum,2022,166,Action,6.3,Thu Pa Saravanan,"['Vishal', 'Dimple Hayathi', 'Yogi Babu', 'Baburaj']",2735
902,Maid for each other,2022,59,Romance,9.4,Swagger Sharma,"['Lavina Khanchandani', 'Bhupender Singh Rawat', 'Annu Sharma', 'Swagger Sharma']",86
903,Repeat Shoe,2022,112,Drama,6.2,Kalyaan,"['Yogi Babu', 'Kpy Bala', 'Antony Das', 'Dileepan']",64
